epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,215.304,1.04479,0.78923,1.13542,0.75318,0.78113,0.8143,0.52402,1.38584,0.95585,1.40366,0.000359409,0.000359409,0.000359409
43,221.123,1.01571,0.75305,1.11673,0.82741,0.7183,0.80675,0.51132,1.42626,1.01005,1.4431,0.000341077,0.000341077,0.000341077
44,225.659,1.05183,0.76238,1.1463,0.80418,0.72663,0.80951,0.51325,1.44518,1.04059,1.43657,0.000322745,0.000322745,0.000322745
45,230.504,0.98714,0.72075,1.10744,0.81421,0.76494,0.81242,0.50581,1.50002,1.02421,1.50286,0.000304414,0.000304414,0.000304414
46,235.804,0.99088,0.72554,1.11018,0.83074,0.7529,0.81123,0.50708,1.49891,0.99737,1.51515,0.000286083,0.000286083,0.000286083
47,240.31,0.99724,0.70762,1.1006,0.85659,0.71913,0.7987,0.4954,1.44975,1.01705,1.47082,0.000267751,0.000267751,0.000267751
48,245.672,0.97663,0.72039,1.11996,0.77679,0.72305,0.78227,0.48902,1.49625,1.00348,1.51585,0.00024942,0.00024942,0.00024942
49,250.586,0.93873,0.67874,1.08007,0.73431,0.7825,0.79972,0.49179,1.46903,1.01544,1.49439,0.000231088,0.000231088,0.000231088
50,255.33,0.93922,0.67385,1.08292,0.75376,0.81078,0.80247,0.50978,1.49371,0.95766,1.52075,0.000212757,0.000212757,0.000212757
51,262.795,0.89774,0.60459,1.09191,0.78031,0.76863,0.82233,0.52158,1.49191,0.92237,1.51542,0.000194425,0.000194425,0.000194425
52,267.35,0.86184,0.5538,1.0694,0.8415,0.72191,0.82565,0.51868,1.49445,0.93722,1.53629,0.000176094,0.000176094,0.000176094
53,272.929,0.83529,0.54738,1.0646,0.7651,0.75949,0.80612,0.50345,1.50392,0.93731,1.5471,0.000157762,0.000157762,0.000157762
54,277.287,0.80773,0.53794,1.03863,0.79272,0.76521,0.81986,0.52341,1.51998,0.92879,1.54765,0.000139431,0.000139431,0.000139431
55,282.073,0.8128,0.54989,1.03003,0.77292,0.77165,0.82741,0.52144,1.51514,0.91175,1.53911,0.000121099,0.000121099,0.000121099
56,287.52,0.80524,0.52356,1.01519,0.87734,0.74128,0.81503,0.51076,1.49354,0.9316,1.53354,0.000102768,0.000102768,0.000102768
57,292.031,0.81239,0.52113,1.06033,0.83988,0.74223,0.81015,0.50932,1.50877,0.92586,1.54251,8.4436e-05,8.4436e-05,8.4436e-05
58,296.617,0.80087,0.51279,1.03257,0.82505,0.73526,0.80826,0.51108,1.50988,0.92151,1.5365,6.61045e-05,6.61045e-05,6.61045e-05
59,301.763,0.77363,0.49925,1.03395,0.83059,0.72519,0.80974,0.51032,1.50846,0.90899,1.55001,4.7773e-05,4.7773e-05,4.7773e-05
60,306.174,0.80919,0.53606,1.05672,0.83808,0.72021,0.8164,0.51519,1.50009,0.9238,1.52966,2.94415e-05,2.94415e-05,2.94415e-05
